"trip"	"site"	"gut.id"	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"
"317"	"GC20130110"	"II"	472	0	0	0	34	0	0	0
"318"	"GC20130110"	"II"	480	0	0	0	43	0	0	0
"319"	"GC20130110"	"IVb"	387	0	0	0	0	0	0	0
"320"	"GC20130110"	"IVb"	388	0	0	0	0	0	0	0
"321"	"GC20130110"	"IVb"	394	0	0	0	73	0	68	0
"322"	"GC20130110"	"IVb"	398	0	0	0	0	0	0	0
"323"	"GC20130110"	"IVb"	407	0	0	0	0	0	0	0
"324"	"GC20130110"	"IVb"	413	0	0	0	0	0	23	0
"325"	"GC20130110"	"IVb"	414	0	0	0	0	0	0	0
"326"	"GC20130110"	"IVb"	419	0	0	0	0	0	0	0
"327"	"GC20130110"	"IVb"	420	0	0	0	0	0	0	0
"328"	"GC20130110"	"IVb"	421	0	0	0	0	14	0	0
"329"	"GC20130110"	"IVb"	422	0	0	0	0	0	0	0
"330"	"GC20130110"	"IVb"	426	0	0	0	0	0	0	0
"331"	"GC20130110"	"IVb"	430	0	0	0	0	0	0	0
"332"	"GC20130110"	"IVb"	431	0	0	0	0	0	0	0
"333"	"GC20130110"	"IVb"	432	0	0	0	0	0	82	0
"334"	"GC20130110"	"IVb"	433	0	0	0	0	0	0	0
"335"	"GC20130110"	"IVb"	437	0	0	0	0	195	0	0
"336"	"GC20130110"	"IVb"	438	0	0	0	0	0	0	0
"337"	"GC20130110"	"IVb"	443	0	0	0	0	0	0	0
"338"	"GC20130110"	"IVb"	444	0	0	0	0	0	0	0
"339"	"GC20130110"	"IVb"	452	0	0	0	1326	0	0	0
"340"	"GC20130110"	"IVb"	453	0	0	0	0	0	0	0
"341"	"GC20130110"	"IVb"	458	0	0	0	0	0	0	0
"342"	"GC20130110"	"IVb"	459	0	0	0	19	0	0	0
"343"	"GC20130110"	"IVb"	460	0	0	0	5	0	0	0
"344"	"GC20130110"	"IVb"	468	0	0	0	0	0	0	0
"345"	"GC20130110"	"IVb"	469	0	0	0	61	31	0	0
"346"	"GC20130110"	"IVb"	470	0	0	0	0	10	0	0
"347"	"GC20130110"	"IVb"	471	0	0	0	0	0	0	0
"348"	"GC20130404"	"I"	517	0	0	0	0	0	92	0
"349"	"GC20130404"	"I"	522	0	0	0	0	0	51	0
"350"	"GC20130404"	"I"	527	0	0	0	0	0	0	0
"351"	"GC20130404"	"I"	530	0	0	0	0	0	15	0
"352"	"GC20130404"	"I"	532	0	0	0	0	0	0	0
"353"	"GC20130404"	"I"	534	0	0	0	0	0	0	0
"354"	"GC20130404"	"I"	548	0	0	0	0	0	3	0
"355"	"GC20130404"	"I"	553	0	0	0	0	0	0	0
"356"	"GC20130404"	"I"	556	0	0	0	0	0	0	0
"357"	"GC20130404"	"I"	563	0	0	0	0	0	0	0
"358"	"GC20130404"	"I"	564	0	0	0	0	0	0	0
"359"	"GC20130404"	"I"	565	0	0	0	0	0	0	0
"360"	"GC20130404"	"I"	572	0	0	0	0	0	10	0
"361"	"GC20130404"	"I"	577	0	0	0	0	77	48	0
"362"	"GC20130404"	"I"	580	0	0	0	0	0	5	0
"363"	"GC20130404"	"I"	588	0	0	0	0	29	0	0
"364"	"GC20130404"	"I"	599	0	0	0	0	22	169	0
"365"	"GC20130404"	"I"	605	0	0	0	0	30	128	0
"366"	"GC20130404"	"I"	606	0	0	0	0	0	0	0
"367"	"GC20130404"	"I"	609	0	0	0	0	0	0	0
"368"	"GC20130404"	"I"	610	0	0	0	0	26	0	0
"369"	"GC20130404"	"IVb"	518	0	0	87	0	0	0	0
"370"	"GC20130404"	"IVb"	526	0	0	288	0	0	0	0
"371"	"GC20130404"	"IVb"	536	0	0	200	0	0	0	0
"372"	"GC20130404"	"IVb"	541	0	0	62	0	0	0	0
"373"	"GC20130404"	"IVb"	542	0	0	46	0	0	0	0
"374"	"GC20130404"	"IVb"	543	0	0	65	0	0	42	0
"375"	"GC20130404"	"IVb"	559	0	0	130	0	118	0	0
"376"	"GC20130404"	"IVb"	560	0	0	18	0	0	0	0
"377"	"GC20130404"	"IVb"	562	0	0	0	0	0	0	0
"378"	"GC20130404"	"IVb"	568	0	0	0	0	0	0	0
"379"	"GC20130404"	"IVb"	574	0	0	13	0	0	0	0
"380"	"GC20130404"	"IVb"	579	0	0	1056	0	0	0	0
"381"	"GC20130404"	"IVb"	584	0	0	22	0	0	355	0
"382"	"GC20130404"	"IVb"	587	0	0	0	0	0	0	0
"383"	"GC20130404"	"IVb"	589	0	0	753	0	0	0	0
"384"	"GC20130404"	"IVb"	602	0	0	0	0	0	20	0
"385"	"GC20130404"	"IVb"	607	0	0	972	0	0	0	0
"386"	"GC20130404"	"IVb"	608	0	0	245	0	225	116	0
"387"	"GC20130404"	"IVb"	611	0	0	32	0	0	0	0
"388"	"GC20130404"	"IVb"	616	0	0	54	0	0	23	0
"389"	"GC20130404"	"III"	520	0	0	0	0	0	0	0
"390"	"GC20130404"	"III"	528	0	0	149	144	0	0	0
"391"	"GC20130404"	"III"	529	0	0	0	0	35	14	0
"392"	"GC20130404"	"III"	533	0	0	0	34	0	0	0
"393"	"GC20130404"	"III"	540	0	0	0	63	0	87	0
"394"	"GC20130404"	"III"	545	0	0	0	109	0	0	0
"395"	"GC20130404"	"III"	552	0	0	31	0	0	0	0
"396"	"GC20130404"	"III"	561	0	0	0	0	0	24	0
